"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 20 19:20:36 CST 2023","Tue Jun 20 19:20:45 CST 2023","9440","","main teacher test","","","","judge report",""
"passed","Tue Jun 20 19:20:04 CST 2023","Tue Jun 20 19:20:05 CST 2023","1216","","administrator test","","","","logout[halfway exit]",""
"passed","Tue Jun 20 19:20:18 CST 2023","Tue Jun 20 19:20:20 CST 2023","1856","","main teacher test","","","","delete teacher",""
"passed","Tue Jun 20 19:21:35 CST 2023","Tue Jun 20 19:21:40 CST 2023","5312","","main teacher test","","","","change grade weight[wrong time format]",""
"passed","Tue Jun 20 19:21:52 CST 2023","Tue Jun 20 19:21:56 CST 2023","4295","","the login test","","","","interrupt midway",""
"passed","Tue Jun 20 19:20:23 CST 2023","Tue Jun 20 19:20:25 CST 2023","1810","","main teacher test","","","","add stu",""
"passed","Tue Jun 20 19:21:46 CST 2023","Tue Jun 20 19:21:47 CST 2023","1119","","main teacher test","","","","calculate grade",""
"passed","Tue Jun 20 19:19:57 CST 2023","Tue Jun 20 19:20:02 CST 2023","5851","","administrator test","","","","authorization",""
"passed","Tue Jun 20 19:20:25 CST 2023","Tue Jun 20 19:20:27 CST 2023","2030","","main teacher test","","","","add exp",""
"passed","Tue Jun 20 19:22:01 CST 2023","Tue Jun 20 19:22:05 CST 2023","4258","","the login test","","","","wrong code",""
"passed","Tue Jun 20 19:20:21 CST 2023","Tue Jun 20 19:20:23 CST 2023","1598","","main teacher test","","","","delete stu2",""
"passed","Tue Jun 20 19:22:15 CST 2023","Tue Jun 20 19:22:16 CST 2023","928","","the login test","","","","login successfully",""
"passed","Tue Jun 20 19:20:57 CST 2023","Tue Jun 20 19:20:59 CST 2023","1833","","main teacher test","","","","finish report[illegal rethink number]",""
"passed","Tue Jun 20 19:21:21 CST 2023","Tue Jun 20 19:21:22 CST 2023","1755","","experiment function test","","","","add exp[3]",""
"passed","Tue Jun 20 19:21:17 CST 2023","Tue Jun 20 19:21:19 CST 2023","1661","","experiment function test","","","","add exp【1】",""
"passed","Tue Jun 20 19:20:20 CST 2023","Tue Jun 20 19:20:21 CST 2023","1572","","main teacher test","","","","delete stu1",""
"passed","Tue Jun 20 19:20:27 CST 2023","Tue Jun 20 19:20:28 CST 2023","1628","","main teacher test","","","","del exp1",""
"passed","Tue Jun 20 19:20:05 CST 2023","Tue Jun 20 19:20:06 CST 2023","1098","","administrator test","","","","test",""
"passed","Tue Jun 20 19:22:10 CST 2023","Tue Jun 20 19:22:13 CST 2023","3745","","the login test","","","","null mail",""
"passed","Tue Jun 20 19:20:28 CST 2023","Tue Jun 20 19:20:30 CST 2023","1920","","main teacher test","","","","del exp2",""
"passed","Tue Jun 20 19:20:02 CST 2023","Tue Jun 20 19:20:04 CST 2023","1650","","administrator test","","","","authorization[halfway exit]",""
"passed","Tue Jun 20 19:21:10 CST 2023","Tue Jun 20 19:21:15 CST 2023","5147","","experiment function test","","","","exp item management",""
"passed","Tue Jun 20 19:20:55 CST 2023","Tue Jun 20 19:20:57 CST 2023","1900","","main teacher test","","","","finish report[illegal phenomemon number]",""
"passed","Tue Jun 20 19:20:59 CST 2023","Tue Jun 20 19:21:01 CST 2023","2164","","main teacher test","","","","finish report[success]",""
"passed","Tue Jun 20 19:22:14 CST 2023","Tue Jun 20 19:22:15 CST 2023","932","","the login test","","","","wrong pw",""
"failed","Tue Jun 20 19:21:40 CST 2023","Tue Jun 20 19:21:46 CST 2023","5822","","main teacher test","","","","change grade weight normal",""
"passed","Tue Jun 20 19:20:11 CST 2023","Tue Jun 20 19:20:18 CST 2023","6795","","main teacher test","","","","check class",""
"passed","Tue Jun 20 19:21:19 CST 2023","Tue Jun 20 19:21:21 CST 2023","1707","","experiment function test","","","","add exp[2]",""
"passed","Tue Jun 20 19:22:13 CST 2023","Tue Jun 20 19:22:14 CST 2023","887","","the login test","","","","null pw",""
"passed","Tue Jun 20 19:21:27 CST 2023","Tue Jun 20 19:21:29 CST 2023","2624","","experiment function test","","","","add exp[4]",""
"passed","Tue Jun 20 19:20:50 CST 2023","Tue Jun 20 19:20:55 CST 2023","5137","","main teacher test","","","","check report",""
"passed","Tue Jun 20 19:21:15 CST 2023","Tue Jun 20 19:21:17 CST 2023","1657","","experiment function test","","","","delete exp",""
